Peak Method: Gauss
File Time(Hrs) PeakHeight_E2_30Hz PeakLocation_E2_30Hz PeakHeight_E2_100Hz PeakLocation_E2_100Hz Norm_E2_30Hz Norm_E2_100Hz NormalizedRatio_E2 KDM_E2
130 0.0 0.48951115315503235 -0.29875908600996354 1.3577863561766825 -0.2995269322226788 0.36722446874146125 0.5689892311327915 1.5494316952321052 1.431022879537931
131 0.0 0.4871340038565562 -0.2987236193323058 1.3476066958225204 -0.2995020756219844 0.3654411643517131 0.564723378046436 1.545319556564588 1.428488089173844
132 0.0 0.4844774799568022 -0.2986816422604488 1.3375210591164932 -0.2994674395311236 0.36344827701605475 0.5604969261832681 1.5421642132547764 1.4265375229719202
133 0.0 0.48166638399293554 -0.29866050872072225 1.3260900450427449 -0.2994650115971652 0.36133943186460377 0.5557066851565392 1.5379076739257345 1.4238985361462562
134 0.0 0.47926227963816637 -0.29866985345370933 1.3158215046589157 -0.29945070563989784 0.35953590616597775 0.5514035863138737 1.5336537376584614 1.4212523043118361
135 0.0 0.476988872166643 -0.2986464673370384 1.306569269273311 -0.2994209773939094 0.35783042745403787 0.5475263767113714 1.5301280570437217 1.4190523523644407
136 0.0 0.4743573902458095 -0.29864368122156326 1.2961866055182991 -0.29944407424765496 0.3558563262631815 0.543175453725439 1.5263897636140982 1.4167130275742388
137 0.0 0.47196049006977353 -0.29861168832745144 1.2861243595981555 -0.299380232178717 0.3540582050393892 0.5389588039237034 1.522232209994241 1.4141031963075543
138 0.0 0.46945195970918074 -0.29857624182146125 1.2764900521105553 -0.29940315890674735 0.3521763404014679 0.534921484514115 1.518902388230636 1.4120067459979113
139 0.0 0.4671914643254975 -0.29856153291176873 1.267581466685942 -0.29933117494797157 0.350480548158502 0.5311882836698343 1.5155998997970315 1.4099220228452323
140 0.0 0.4647030972901847 -0.29849250615216555 1.2582453281870905 -0.2992645235034933 0.34861380976717654 0.5272759139203187 1.5124929051791223 1.407955703375477
141 0.0 0.4621879760719674 -0.29842918316273037 1.2480330674740097 -0.29922465740033516 0.3467270007593995 0.5229963994408645 1.5083809403230806 1.4053458804049124
142 0.0 0.4600128187571663 -0.298423140910626 1.2392449325883155 -0.2991847789077501 0.3450952279505296 0.5193136741807708 1.5048416556348785 1.4030926701487811
143 0.0 0.45758174197323537 -0.2983849690684249 1.2302977691400856 -0.2992120885399112 0.3432714679101409 0.5155643069639999 1.5019142432745403 1.4012241783456396
144 0.0 0.45542726587403365 -0.298405876170223 1.2205492673152782 -0.29920692757123285 0.3416552098619919 0.511479133672369 1.4970622982127968 1.3981176589535274
145 0.0 0.4529119431356651 -0.2983804410054163 1.2121318562119898 -0.299164713296374 0.33976824967659613 0.5079517626319978 1.4949947886993118 1.3967902385538544
146 0.0 0.4510585905125145 -0.298354274470034 1.2016026454050022 -0.2991560670776717 0.33837789027816273 0.5035394281478212 1.4880979006456 1.3923462179835855
147 0.0 0.44882047931329283 -0.2983265511355647 1.1927003102683247 -0.2991303165064061 0.33669889033950723 0.49980884652747865 1.4844386508773493 1.3899783564438395
148 0.0 0.44648019997792737 -0.2983068361689872 1.1835704285077548 -0.29909497082864794 0.3349432452840328 0.4959829100098164 1.480796872285696 1.3876148649306472
149 0.0 0.4443980186012746 -0.2982865346669448 1.1753613483928946 -0.2990813119690417 0.3333812217327073 0.49254284142935556 1.4774162709867869 1.3854146568566983
150 0.0 0.4422538461472656 -0.2982563445823185 1.1660598578382475 -0.29906453968923474 0.3317726933360843 0.4886449911269116 1.472830648639056 1.3824205664057767
151 0.0 0.4399615954500408 -0.2982429309444007 1.1582373748249375 -0.2990299125911762 0.3300530786979189 0.4853669285841227 1.4705723409668747 1.3809419648749999
152 0.0 0.43822153973478295 -0.29820900405117096 1.1493711041482282 -0.2989856641952268 0.3287477130663135 0.4816514600110245 1.4651096900980356 1.377354153420685
153 0.0 0.4358619571878108 -0.2981536672380292 1.1416631150093806 -0.29897338679748037 0.32697758700957574 0.47842137687331904 1.4631626015984642 1.3760714792420896
154 0.0 0.43396952968348707 -0.2981735928820484 1.1329196304365612 -0.2989355943230864 0.32555791417796015 0.47475736261814666 1.458288500885988 1.3728516817459115
155 0.0 0.431973259495955 -0.2981259505927107 1.1243686946891889 -0.2989014568755438 0.32406034000757405 0.4711740372045201 1.4539700760466636 1.3699882736777358
156 0.0 0.4299388282319888 -0.2980866618348138 1.1162291105419697 -0.29885574935786596 0.3225341379276301 0.4677630913627104 1.4502746728399543 1.3675299572174657
157 0.0 0.42794293524071947 -0.2980487892966657 1.1089537225702009 -0.29884758323696375 0.3210368467246418 0.46471429256647995 1.4475419170967392 1.3657072542623587
